DBN,School Name,Eligibility,Year,Total Enrollment,GRADES,Grade 5enrol,Grade 6Enrol,Grade 7,Grade 8,Total 6-8 enrollment,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Needs Index,2015-16 grade 6 applicants - GE,2015-16 grade 6 seats - GE,2015-16 grade 6 applicants - SWD,2015-16 grade 6 seats - SWD,admissions priorities,selection criteria,School uniform,language other than English taught,pct_students_met_state_std_ELA,pct_students_met_state_std_Math,ADDRESS,ZIP,coords.x1,coords.x2,City,latitude,longitude
01M034,P.S. 034 Franklin D. Roosevelt,Dist1,2015-16,394,"PK,0K,01,02,03,04,05,06,07,08",33,64,62,50,176,200,0.508,194,0.492,18,0.046,113,0.287,249,0.632,0,0,14,0.036,122,0.31,29,0.074,384,0.975,0.856,60,51,33,19,1. Priority to continuing 5th grade students; 2. Then to students and residents of District 1 who sign in at an event; 3. Then to students and residents of District 1.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,N,Spanish,0.251,0.191,730 EAST  12 STREET,10009,991118.1231,203875.9493,New York,40.7261465,-73.9750432
01M140,P.S. 140 Nathan Straus,Dist1,2015-16,376,"PK,0K,01,02,03,04,05,06,07,08",29,69,49,72,190,188,0.5,188,0.5,20,0.053,47,0.125,292,0.777,4,0.011,13,0.035,132,0.351,54,0.144,376,1,0.855,122,48,79,17,1. Priority to continuing 5th grade students; 2. Then to students and residents of District 1.,"Academic and Personal Behaviors; Attendance; Attendance at an pen House/School Tour; Punctuality; Student Rank. This program will see where you rank it on your child¨¹s application, this influences how the program evaluates your child¨¹s application.",N,N,0.167,0.141,123 RIDGE STREET,10002,988831.1545,201263.1215,New York,40.7191282,-73.9832826
01M184,P.S. 184m Shuang Wen,Dist1,2015-16,663,"PK,0K,01,02,03,04,05,06,07,08",77,84,78,51,213,331,0.499,332,0.501,471,0.71,24,0.036,77,0.116,34,0.051,57,0.086,121,0.183,115,0.173,468,0.706,0.537,175,66,24,27,"1. Priority to continuing 5th grade students; 2. Then to students and residents of Manhattan. Last year, this program admitted students from all priority groups. Preference is given to the following students: English Language Learners (ELLs), Heritage Language Speakers of the target language, Participants of elementary school level Dual Language and Transitional Bilingual Education programs in the target language.",Final 4th Grade report Card; Mandarin Language Assessment; Punctuality;  4th Grade New York State ELA and Math Exams,Y,Chinese(Mandarin),0.634,0.795,327 CHERRY STREET,10002,988196.333,198439.3234,New York,40.7114373,-73.9854864
01M188,P.S. 188 The Island School,Dist1,2015-16,489,"PK,0K,01,02,03,04,05,06,07,08",54,52,60,61,173,216,0.442,273,0.558,9,0.018,145,0.297,312,0.638,2,0.004,21,0.043,146,0.299,77,0.157,489,1,0.921,99,33,48,14,1. Priority to continuing 5th grade students; 2. Then to students and residents of District 1.,Attendance; Final 4th Grade report Card; 4th Grade New York State ELA and Math Exams;,NA,NA,0.14,0.195,442 EAST HOUSTON STREET,10002,990502.5833,201596.9674,New York,40.7198704,-73.9773763
01M301,"Technology, Arts, and Sciences Studio",Dist1,2015-16,156,"06,07,08",0,46,54,56,156,76,0.487,80,0.513,12,0.077,45,0.288,86,0.551,6,0.038,7,0.045,60,0.385,10,0.064,127,0.814,0.789,93,44,41,16,NA,Academic and Personal Behaviors; Attendance; Punctuality,N,Spanish,0.238,0.062,185 1 AVENUE,10003,988675.0837,205204.5969,New York,40.7298923,-73.9842311
01M332,University Neighborhood Middle School - Next Generation Extended Learning @ NYU,Dist1,2015-16,110,"06,07,08",0,39,35,36,110,49,0.445,61,0.555,6,0.055,30,0.273,69,0.627,1,0.009,4,0.036,43,0.391,16,0.145,96,0.873,0.732,56,21,35,4,NA,Attendance; Attendance at an open House/School Tour; Final 4th Grade; Report Card Punctuality,Y,Spanish,0.242,0.069,220 HENRY STREET,10002,988056.8755,199199.139,New York,40.7133429,-73.9860695
01M332,University Neighborhood Middle School,Dist1,2015-16,110,"06,07,08",0,39,35,36,110,49,0.445,61,0.555,6,0.055,30,0.273,69,0.627,1,0.009,4,0.036,43,0.391,16,0.145,96,0.873,0.732,63,46,36,4,NA,Attendance; Attendance at an open House/School Tour; Final 4th Grade; Report Card Punctuality,Y,Spanish,0.242,0.069,220 HENRY STREET,10002,988056.8755,199199.139,New York,40.7133429,-73.9860695
01M378,School for Global Leaders,Dist1,2015-16,264,"06,07,08",0,100,84,80,264,117,0.443,147,0.557,40,0.152,59,0.223,154,0.583,6,0.023,5,0.019,88,0.333,20,0.076,183,0.693,0.758,50,35,21,9,1. Priority to students and residents of District 1 who sign in at an event; 2. Then to students and residents of District 1. Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,Y,Chinese(Cantonese),0.215,0.252,145 STANTON STREET,10002,988130.7146,201748.9602,New York,40.7202883,-73.9860794
01M378,School for Global Leaders - Mandarin Dual Language Program,Dist1,2015-16,264,"06,07,08",0,100,84,80,264,117,0.443,147,0.557,40,0.152,59,0.223,154,0.583,6,0.023,5,0.019,88,0.333,20,0.076,183,0.693,0.758,50,35,21,9,"1. Priority to students and residents of District 1 who sign in at an event; 2. Then to students and residents of District 1. Last year this program admitted students from all priority groups. Preference is given to the following students: English Language Learners (ELLs), Heritage Language Speakers of the target language, Participants of elementary school level Dual Language and Transitional Bilingual Education programs in the target language.",Attendance;  Final 4th Grade ELA Course Grade; Final 4th Grade Math Course Grade; Chinese Language Proficiency; Punctuality; 4th Grade New York State ELA and Math Exams,Y,Chinese(Cantonese),0.215,0.252,145 STANTON STREET,10002,988130.7146,201748.9602,New York,40.7202883,-73.9860794
01M450,East Side Community School,Dist1,2015-16,677,"06,07,08,09,10,11,12",0,95,103,93,291,334,0.493,343,0.507,73,0.108,139,0.205,361,0.533,23,0.034,81,0.12,191,0.282,6,0.009,471,0.696,0.587,340,62,117,22,This school will give priority to applicants eligible for Free and educed Lunch (FRL) for 62 percent of the seats,"Attendance; Attendance at an open House/School Tour; Demonstrated interest School visit or Written Contact; Interview; Priority to Siblings; Punctuality. This program will see where you rank it on your child¨¹s application, this influences how the program evaluates your child¨¹s application.",N,N,0.429,0.404,420 EAST 12 STREET,10009,989139.4879,204964.7641,New York,40.7291532,-73.982474
