,Org.Nam,Lat,Lon,Address,Type,primary.purpose,Phone.Number,Email,Audience,Neighborhoods
1,Avodah,40.706463,-74.005928,Bushwick TBD ,Community Based Institution,Social justice through service programs for young adults in Brooklyn.,,,young adults,Boro-wide
2,Because Jewish,40.744294,-73.983744,"440 Park Avenue South, 4th floorNew York, NY 10016-8012",Community Based Institution,Creative and intellectual events exploring Judaism.,,,All,All over
3,Brooklyn Jews,40.671164,-73.974873,"Garfield and 8th, Brooklyn NY",Community Based Institution,Young adult Shabbat programs,,,Young Adults,
4,Repair the World,40.671083,-73.950804,"808 Nostrand Ave, Brooklyn NY",Community Based Institution,Engaging young adults in volunteer community service.,,,Young adults,Boro-wide;  HQ in Crown Heights
5,Grinspoon Foundation/PJ Library,NA,NA,,Community Based Institution,Jewish learning children,,,Children,
6,Lab Shul,40.706425,-74.006145,,Community Based Institution,Artist driven spiritual events for all ages,,,All,
7,Moishe House Park Slope,40.680303,-73.979584,"637 Baltic StBrooklyn NY11217",Community Based Institution,Jewish observance young adults,,,Young Adults,Park Slope
8,Moishe House Williamsburg,NA,NA,,Community Based Institution,Jewish observance young adults,,,Young Adults,Williamsburg
9,Fig Tree,NA,NA,,Community Based Institution,Jewish learning,,,Children 3-11,Brownstone Brooklyn
19,B'nai Jacob Congregation of Park Slope,40.667613,-73.982688,"401 9th St, Brooklyn, NY ",Institution,Orthodox Synagogue/congregation,(718) 832-1266,rabbi@chabadinbrooklyn.com,All,Park Slope
20,Brooklyn Heights Synagogue,40.693908,-73.993338,"131 Remsen St, Brooklyn, NY ",Institution,Reform Synagogue/congregation,(718)-522-2070,rabbi@bhsbrooklyn.org,All,Bklyn Heights
21,Brooklyn Jewish Art Gallery,40.67278,-73.958274,603 St. Johns Place,Institution,Art gallery / synagogue,Unknown,,All,Prospect Heights
22,Chabad - Park Slope,40.6684,-73.973807,70 Prospect Park West Suite 1C,Institution,Promoting Jewish learning and practice; Orthodox Synagogue,718-965-9836,,All,Park Slope
23,Chabad Pratt,40.6939,-73.962857,"111 Steuben Street Suite 2ABrooklyn, NY 11205-2608 USA",Institution,Promoting Jewish learning and practice; Orthodox Synagogue,"(718) 866-6815",,All,Clinton Hill
24,Chai Daycare,40.680303,-73.967507,569 Vanderbilt Avenue,Institution,Child care,(718) 399 3979,,infants/Toddlers,
25,Chevra Ahavas Yisroel,40.669963,-73.939663,306 Albany Ave,Institution,Orthodox Shul,306 Albany Ave.,11213,Observant,Crown Heights/Prospect Heights 
26,Chevra Ahavas Yisroel,40.669963,-73.939663,306 Albany Ave,Institution,Synagogue - Orthodox,,,All,
27,Chevra Kol Israel,40.6728693,-73.9582628,"603 St. John Place ",Institution,Synagogue,,,All,
28,Congregation Ahavas Israel-The Greenpoint Shul,40.7283522,-73.9563685,108 Noble St,Institution,Synagogue - unaffiliated,,,All,
29,Congregation BŠ—È nai Avraham,40.694031,-73.993785,117 Remsen St,Institution,NA,NA,NA,All,NA
30,Congregation Beth Elohim,40.670877,-73.974728,274 Garfield Pl,Institution,Reform Synagogue and congregation; Day School,718-768-3814,,All,
31,Congregation Kol Israel,40.672763,-73.958252,603 St. Johns Place,Institution,Orthodox Synagogue/congregation,,fred.polaniecki@gmail.com,All,
32,Congregation Mount Sinai,40.696887,-73.991607,"250 Cadman Plaza W, Brooklyn, NY ",Institution,Conservative Synagogue/congregation,(718) 875-9124,rabbiwax@gmail.com,All,
33,East Midwood Jewish Center,40.622212,-73.955384,"1625 Ocean AvenueBrooklyn New York ",Institution,Conservative Synagogue/congregation,718-338-3800,rabbimattcarl@emjc.org,All,
34,Flatbush and Shaare Torah Jewish Center,40.644188,-73.975435,327 E. 5th Street,Institution,Synagogue - Conservative,(718) 871-5200,dinagee@gmail.com,All,
35,Greenpoint Shul,40.728261,-73.956295,108 Noble St,Institution,Synagogue/congregation,(347) 788-1280,,All,
36,Hannah Senesh Community Day School,40.67969,-73.995404,342 Smith Street,Institution,Jewish Day School,(718) 858-8663,,School Age Children,
